carat,cut,color,clarity,depth,table,x,y,z,price
0.9,Very Good,G,SI2,63.2,58.0,6.05,6.1,3.84,3787
0.3,Ideal,G,VS2,61.6,58.0,4.27,4.3,2.64,545
0.32,Premium,H,SI2,61.8,55.0,4.42,4.35,2.71,517
0.52,Ideal,F,SI1,60.4,56.0,5.22,5.28,3.17,1432
1.56,Premium,F,SI2,58.8,59.0,7.76,7.61,4.52,7950
0.3,Ideal,F,SI1,61.2,55.0,4.35,4.37,2.67,609
0.34,Premium,G,SI2,62.8,58.0,4.46,4.43,2.79,574
1.01,Very Good,D,SI1,61.6,59.0,6.42,6.47,3.97,5815
0.7,Premium,E,SI1,61.1,60.0,5.69,5.56,3.44,1971
1.12,Premium,G,IF,60.9,57.0,6.79,6.68,4.1,9126
0.31,Ideal,E,VS2,61.8,56.0,4.34,4.36,2.69,680
0.79,Ideal,I,VS1,62.2,57.0,5.89,5.94,3.68,2958
0.93,Premium,F,SI1,62.3,58.0,6.18,6.22,3.86,4373
1.23,Good,J,SI2,63.2,57.5,6.74,6.82,4.29,4992
0.97,Premium,F,VVS2,58.1,60.0,6.53,6.49,3.78,6768
1.2,Ideal,G,VS1,62.3,56.0,6.77,6.82,4.23,8442
0.36,Very Good,G,VVS2,59.5,56.0,4.68,4.73,2.8,858
0.5,Good,F,VS2,63.3,58.0,4.98,5.03,3.17,1436
0.71,Premium,I,SI2,60.3,58.0,5.72,5.78,3.47,1821
0.3,Ideal,F,SI1,62.3,53.9,4.28,4.31,2.68,499
0.3,Very Good,E,VS2,62.4,57.0,4.24,4.29,2.66,658
1.04,Good,E,SI1,63.8,58.0,6.46,6.39,4.1,5766
0.37,Premium,F,VS2,61.2,60.0,4.63,4.59,2.82,957
0.71,Good,I,VS2,64.2,58.0,5.52,5.57,3.56,2028
1.02,Good,F,SI1,63.7,61.0,6.27,6.23,3.98,4678
1.14,Premium,D,SI2,60.3,58.0,6.79,6.71,4.07,4972
0.34,Ideal,F,VS2,61.5,55.0,4.53,4.57,2.8,726
0.55,Good,J,VS2,64.1,54.0,5.18,5.21,3.33,1034
0.34,Premium,D,VS2,59.3,58.0,4.55,4.52,2.69,1033
0.32,Ideal,E,VS2,61.4,56.0,4.41,4.45,2.72,599
0.51,Good,G,VS2,63.9,56.0,5.1,5.07,3.25,1443
0.35,Ideal,D,VS1,61.0,56.0,4.53,4.58,2.78,1065
0.5,Good,H,VVS2,61.9,64.3,5.01,5.03,3.11,1362
0.31,Ideal,G,SI1,61.8,55.0,4.38,4.42,2.72,493
1.18,Premium,G,VVS2,58.2,62.0,6.92,6.89,4.02,9188
1.41,Ideal,J,SI1,62.3,55.0,7.18,7.21,4.48,6889
0.35,Ideal,H,IF,61.7,56.0,4.55,4.53,2.8,984
0.33,Premium,F,VS2,60.0,60.0,4.45,4.49,2.68,577
1.52,Ideal,I,VS1,60.7,60.0,7.4,7.42,4.5,10392
0.32,Very Good,D,SI1,63.2,54.0,4.38,4.36,2.76,756
1.22,Very Good,J,VS2,61.9,57.0,6.82,6.87,4.24,4793
0.55,Premium,E,VS2,60.1,59.0,5.36,5.29,3.2,1735
0.7,Ideal,F,SI1,60.8,57.0,5.73,5.71,3.48,2596
0.54,Ideal,D,VS1,62.1,57.0,5.19,5.22,3.23,2004
1.01,Very Good,G,VS1,63.1,57.0,6.32,6.39,4.01,6936
1.21,Premium,F,SI2,,60.0,6.81,6.74,3.99,5243
0.41,Good,G,SI2,63.4,58.0,4.7,4.73,2.99,611
0.41,Ideal,D,VS2,62.2,54.0,4.81,4.77,2.98,1076
0.35,Ideal,H,VS2,61.7,56.0,4.55,4.59,2.82,571
0.37,Very Good,G,VS1,58.4,59.0,4.76,4.69,2.76,657
1.0,Good,I,SI1,65.2,56.0,6.21,6.27,4.07,3836
1.01,Premium,H,SI2,60.9,59.0,6.42,6.35,3.89,3394
1.01,Good,F,VVS2,63.6,60.0,6.36,6.31,4.03,7059
0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1324
1.01,Good,E,VVS1,63.1,59.0,6.31,6.34,3.99,10567
0.82,Ideal,E,SI2,62.1,55.0,6.04,6.01,3.74,2668
0.91,Ideal,I,SI2,63.0,54.0,6.17,6.12,3.86,2976
1.12,Very Good,G,SI1,62.5,58.0,6.6,6.64,4.14,5088
1.51,Very Good,G,VS1,60.2,63.0,7.36,7.39,4.44,12317
0.5,Premium,D,SI1,62.2,58.0,5.08,5.12,3.17,1272
1.26,Very Good,G,VS2,63.3,57.0,6.88,6.93,4.37,8040
1.13,Ideal,I,SI1,61.4,57.0,6.72,6.69,4.12,4936
0.52,Premium,I,VS1,59.6,60.0,5.17,5.14,3.07,1141
0.7,Very Good,H,SI2,59.9,57.0,5.74,5.77,3.45,2034
0.35,Ideal,F,VS2,62.1,57.0,4.53,4.55,2.82,706
1.0,Very Good,H,SI2,63.1,58.0,6.29,6.36,3.99,3975
2.28,Very Good,I,SI2,62.9,57.0,8.34,8.41,5.27,16041
0.7,Premium,E,VS1,62.7,57.0,5.68,5.64,3.55,2818
0.58,Very Good,E,VS1,62.9,54.0,5.31,5.34,3.35,2082
1.18,Ideal,I,VS1,62.2,57.0,6.76,6.72,4.19,5551
1.07,Good,F,VS2,57.6,60.0,6.83,6.79,3.92,6828
1.07,Ideal,J,SI1,62.4,56.0,6.52,6.56,4.08,4422
0.3,Ideal,H,VVS2,60.8,58.0,4.33,4.38,2.65,590
1.07,Ideal,F,SI2,62.0,57.0,6.49,6.6,4.06,4678
0.31,Premium,H,IF,61.7,58.0,4.33,4.36,2.68,816
0.5,Very Good,E,VS2,61.3,62.0,5.05,5.1,3.11,1407
0.42,Ideal,G,VVS2,61.7,56.0,4.84,4.88,3.0,1571
0.3,Very Good,G,IF,63.0,53.0,4.24,4.3,2.69,895
0.4,Ideal,D,VVS2,61.3,56.0,4.75,4.78,2.92,1263
0.34,Very Good,H,VVS1,63.2,58.0,4.45,4.41,2.8,995
1.02,Very Good,E,SI1,58.9,58.0,6.51,6.54,3.84,5232
0.31,Ideal,F,VVS1,60.4,59.0,4.35,4.43,2.65,779
0.74,Premium,H,SI1,62.4,58.0,5.75,5.7,3.57,2300
0.9,Very Good,E,SI1,62.9,57.0,6.11,6.17,3.86,3510
0.32,Ideal,G,VVS1,61.4,55.0,4.44,4.42,2.72,1080
0.9,Premium,H,VS2,61.8,58.0,6.12,6.17,3.8,4155
1.51,Good,D,VS1,63.7,55.0,7.28,7.22,4.62,17111
0.41,Very Good,D,SI1,63.1,57.0,4.73,4.68,2.97,920
0.55,Very Good,F,SI1,,57.0,5.17,5.21,3.3,1271
0.38,Premium,D,VS2,58.8,61.0,4.74,4.71,2.78,1117
1.08,Ideal,H,VS1,62.0,55.0,6.56,6.6,4.08,6562
0.3,Ideal,D,VVS2,61.7,55.0,4.33,4.36,2.68,814
1.02,Very Good,D,SI2,60.9,61.0,6.47,6.53,3.96,4904
2.07,Good,I,VS2,61.8,61.0,8.12,8.16,5.03,18707
0.71,Very Good,E,VS2,60.7,56.0,5.81,5.82,3.53,2795
0.43,Ideal,G,IF,62.4,54.0,4.84,4.87,3.03,1318
0.35,Premium,E,VS2,61.4,58.0,4.55,4.51,2.78,853
1.25,Premium,G,VVS1,58.2,61.0,7.1,7.05,4.12,8281
0.54,Premium,F,SI2,59.6,60.0,5.25,5.28,3.14,1154
0.74,Premium,D,SI1,62.4,59.0,5.73,5.8,3.6,3036
0.31,Ideal,D,SI1,61.1,56.0,4.38,4.36,2.67,732
1.04,Premium,F,VS2,61.9,58.0,6.55,6.51,4.04,6908
1.09,Ideal,G,I1,61.0,56.0,6.66,6.62,4.05,3614
1.01,Good,H,SI2,57.9,59.0,6.64,6.59,3.83,3903
0.52,Very Good,F,SI1,61.9,58.0,5.1,5.15,3.17,1298
0.9,Premium,G,SI1,62.0,61.0,6.13,6.07,3.78,3669
1.01,Good,F,VS1,61.2,56.0,6.42,6.49,3.95,6825
0.51,Ideal,E,VVS2,62.5,57.0,5.06,5.12,3.18,2301
0.55,Premium,D,SI1,60.5,60.0,5.3,5.27,3.2,1698
1.01,Good,F,SI1,63.8,59.0,6.32,6.29,4.02,4989
2.01,Very Good,I,SI1,60.8,60.0,8.12,8.15,4.95,13849
2.29,Premium,J,IF,61.4,60.0,8.45,8.49,5.2,18426
0.32,Ideal,E,VVS2,61.3,55.0,4.41,4.43,2.71,1010
1.51,Ideal,J,VS1,62.7,56.0,7.3,7.35,4.59,8092
1.21,Ideal,D,VVS2,62.8,55.0,6.77,6.84,4.26,12657
0.4,Good,E,SI1,63.2,56.0,4.65,4.69,2.95,687
0.6,Fair,F,VVS2,60.1,66.0,5.48,5.44,3.28,2484
0.31,Very Good,F,VVS1,62.4,57.0,4.3,4.32,2.69,897
1.6,Ideal,F,VS2,60.1,57.0,7.65,7.59,4.58,13853
0.5,Ideal,H,SI1,61.3,56.0,5.12,5.16,3.15,1666
0.59,Very Good,G,VS1,57.4,63.0,5.54,5.58,3.19,1915
0.52,Ideal,I,SI2,61.9,55.0,5.17,5.23,3.22,1125
0.51,Very Good,D,SI1,60.4,61.0,5.09,5.14,3.09,1425
0.41,Premium,G,VS2,59.2,58.0,4.83,4.8,2.85,1061
1.0,Good,J,SI1,61.7,62.0,6.37,6.4,3.94,3690
1.16,Fair,H,SI2,68.2,55.0,6.47,6.37,4.38,3118
1.21,Very Good,G,SI2,62.7,59.0,6.66,6.74,4.2,5308
1.18,Premium,J,VS2,62.8,59.0,6.78,6.69,4.23,3913
1.01,Very Good,F,SI1,60.8,59.0,6.49,6.53,3.96,4869
1.01,Premium,G,VS1,59.9,59.0,6.51,6.48,3.89,6353
0.55,Premium,E,VS2,61.5,56.0,5.28,5.25,3.24,1881
1.03,Very Good,D,SI2,62.8,56.0,6.43,6.46,4.05,4679
1.2,Good,F,VS2,63.8,60.0,6.6,6.65,4.23,7666
1.03,Ideal,I,SI1,62.2,58.0,6.45,6.41,4.0,4434
0.3,Very Good,E,VS1,63.0,57.0,4.25,4.29,2.69,568
1.27,Premium,G,VVS2,61.0,58.0,7.01,6.96,4.26,10389
0.8,Fair,G,SI2,64.6,55.0,5.86,5.75,3.75,2318
0.28,Ideal,E,VVS1,62.0,56.0,4.23,4.19,2.61,828
0.42,Ideal,G,VVS1,62.8,55.0,4.78,4.8,3.01,1245
0.72,Good,J,SI1,60.1,64.0,5.75,5.83,3.48,1547
0.32,Ideal,F,VVS1,61.7,56.0,4.37,4.42,2.71,809
0.4,Good,E,SI1,60.6,65.0,4.74,4.71,2.86,1110
0.53,Ideal,D,VS2,60.9,57.0,5.17,5.24,3.17,1783
1.01,Good,D,SI2,63.9,57.0,6.36,6.29,4.04,4672
0.53,Ideal,E,VS2,61.8,56.0,5.21,5.17,3.21,1801
0.34,Ideal,D,VS2,60.8,57.0,4.52,4.56,2.76,730
1.21,Good,G,VS2,63.8,56.0,6.74,6.67,4.28,8099
1.18,Ideal,G,VVS2,62.2,54.0,6.78,6.82,4.23,9252
0.89,Premium,H,SI2,60.2,59.0,6.26,6.23,3.76,2815
1.08,Ideal,E,SI2,61.7,57.0,6.55,6.6,4.06,4989
0.47,Premium,J,SI2,61.9,59.0,4.99,4.96,3.08,867
0.6,Ideal,E,VS1,61.7,55.0,5.41,5.44,3.35,2774
0.78,Ideal,E,VS2,61.1,55.0,5.99,5.96,3.65,3713
1.6,Ideal,G,VS1,62.0,57.0,7.47,7.43,4.62,9856
0.42,Premium,I,SI1,62.6,58.0,4.76,4.8,2.99,626
0.37,Very Good,H,SI1,62.6,63.0,4.6,4.5,2.85,491
0.7,Premium,I,VVS1,62.9,58.0,5.67,5.65,3.56,2536
0.76,Premium,D,VS2,60.9,58.0,5.9,5.85,3.58,2977
1.05,Ideal,I,SI1,62.1,59.0,6.5,6.47,4.03,4516
0.61,Ideal,G,SI1,61.7,55.0,5.46,5.49,3.38,1659
0.51,Premium,G,SI2,59.9,60.0,5.14,5.07,3.06,1004
2.04,Premium,E,SI2,58.3,58.0,8.35,8.31,4.86,17379
0.71,Ideal,H,SI1,60.7,59.0,5.75,5.81,3.51,2328
1.21,Ideal,J,VS2,59.6,57.0,6.98,6.94,4.15,4968
0.31,Ideal,G,VVS1,62.3,56.0,4.34,4.37,2.71,772
1.0,Good,H,SI1,63.7,60.0,6.33,6.3,4.02,4788
0.31,Ideal,E,VS1,60.2,56.0,4.44,4.39,2.66,804
0.25,Very Good,E,VVS2,60.5,59.0,4.06,4.1,2.47,575
1.21,Ideal,F,VS2,62.6,55.0,6.81,6.74,4.24,6261
0.42,Ideal,D,SI2,62.4,57.0,4.81,4.78,2.99,898
0.52,Ideal,E,VS1,61.7,56.0,5.13,5.18,3.18,1742
1.55,Ideal,J,SI1,61.7,54.0,7.42,7.55,4.62,7987
0.4,Ideal,G,IF,61.1,56.0,4.76,4.79,2.92,1257
1.0,Good,G,SI1,64.3,58.0,6.25,6.22,4.01,4427
1.25,Very Good,F,VS2,62.5,59.0,6.81,6.89,4.28,9377
1.2,Very Good,F,VS1,62.9,57.0,6.73,6.78,4.25,9586
0.4,Premium,D,VVS2,60.7,60.0,4.74,4.78,2.89,1263
0.33,Ideal,F,VS1,62.8,55.0,4.41,4.45,2.78,765
0.59,Ideal,G,VS1,61.3,55.0,5.42,5.44,3.33,2129
0.31,Ideal,G,VVS2,,57.0,4.32,4.35,2.72,660
0.4,Good,H,VS2,63.1,62.0,4.75,4.66,2.97,717
2.01,Very Good,H,SI1,,60.0,8.25,8.2,4.94,17476
0.42,Ideal,E,VS2,61.6,57.0,4.79,4.82,2.96,908
0.31,Ideal,H,IF,60.0,57.0,4.41,4.39,2.64,1046
0.43,Premium,G,VS1,60.9,57.0,4.91,4.88,2.98,1008
0.54,Ideal,I,VS1,61.5,56.0,5.24,5.26,3.23,1147
0.41,Ideal,E,VS2,62.1,56.0,4.74,4.76,2.95,935
0.5,Very Good,G,VS1,61.0,58.0,5.08,5.15,3.12,1694
0.4,Premium,F,VS1,62.4,59.0,4.67,4.69,2.92,982
0.52,Premium,D,SI1,60.7,58.0,5.23,5.18,3.16,1376
1.02,Premium,H,SI1,61.8,56.0,6.47,6.42,3.98,4102
0.31,Very Good,I,VS2,63.1,54.0,4.34,4.31,2.73,558
1.51,Very Good,G,VS1,62.5,58.0,7.23,7.27,4.53,13686
0.3,Ideal,D,VS2,62.5,57.0,4.29,4.25,2.67,911
0.32,Good,D,SI1,63.7,55.0,4.38,4.35,2.78,756
1.21,Premium,I,VS2,61.6,61.0,6.86,6.8,4.21,4669
0.32,Ideal,G,VVS1,61.8,54.0,4.41,4.43,2.73,814
0.32,Ideal,F,VS2,61.9,55.0,4.41,4.45,2.74,602
0.31,Good,E,SI1,63.4,55.0,4.26,4.29,2.71,507
1.26,Very Good,H,SI2,62.2,57.0,6.86,6.9,4.28,5736
0.7,Ideal,G,VS2,60.0,57.0,5.8,5.84,3.49,2633
1.52,Premium,D,SI2,59.2,62.0,7.51,7.46,4.43,10291
0.71,Ideal,G,VVS2,60.7,57.0,5.81,5.78,3.52,2843
0.87,Ideal,G,I1,61.5,57.0,6.09,6.04,3.73,1827
1.01,Good,E,VS2,62.6,58.0,6.33,6.36,3.97,6221
0.31,Good,E,SI1,63.2,59.0,4.28,4.33,2.72,544
1.01,Very Good,H,SI1,62.7,59.0,6.27,6.33,3.95,4242
0.35,Ideal,D,SI1,62.3,55.0,4.54,4.51,2.82,827
1.02,Very Good,G,SI1,62.9,56.0,6.36,6.4,4.01,4704
1.31,Premium,E,SI1,62.4,58.0,7.03,6.95,4.36,8767
1.05,Ideal,E,VS1,62.1,56.0,6.57,6.48,4.05,9160
1.69,Premium,F,SI2,62.4,58.0,7.65,7.57,4.75,9275
0.35,Very Good,F,VS2,61.1,62.0,4.5,4.54,2.76,706
0.57,Ideal,E,VS1,60.8,54.8,5.36,5.4,3.27,2061
0.3,Ideal,D,SI1,62.2,55.0,4.33,4.29,2.68,709
0.47,Very Good,F,SI1,63.3,60.0,4.98,4.94,3.14,1086
0.33,Very Good,F,VS2,61.2,58.0,4.45,4.5,2.74,666
0.7,Ideal,F,SI1,61.9,55.0,5.7,5.74,3.54,3119
2.19,Good,I,SI2,63.7,57.0,8.23,8.19,5.23,11522
0.36,Premium,F,VS2,58.5,58.0,4.69,4.65,2.73,869
0.67,Ideal,G,VVS1,62.4,55.0,5.6,5.62,3.5,2577
0.35,Very Good,F,SI1,63.1,56.0,4.51,4.46,2.83,748
0.71,Very Good,F,SI2,59.0,58.0,5.84,5.89,3.46,2098
1.01,Ideal,G,SI2,61.5,57.0,6.43,6.45,3.96,4783
1.24,Ideal,H,VS2,61.4,57.0,6.92,6.88,4.24,5683
0.8,Ideal,F,VS2,60.9,57.0,5.98,6.04,3.66,4043
0.4,Premium,D,SI1,60.9,60.0,4.78,4.74,2.9,884
0.9,Very Good,G,SI2,62.4,55.0,6.13,6.17,3.84,3539
1.71,Premium,I,SI1,60.2,58.0,7.79,7.75,4.68,11104
0.73,Ideal,I,VS2,61.9,56.0,5.77,5.8,3.59,2686
0.7,Premium,G,VS2,62.9,62.0,5.63,5.57,3.52,2550
0.51,Premium,F,VVS2,60.5,59.0,5.17,5.15,3.12,2203
0.58,Ideal,I,SI2,61.3,56.0,5.38,5.45,3.32,1158
1.0,Very Good,G,VS2,63.3,58.0,6.39,6.27,4.01,6048
1.5,Very Good,D,SI1,63.4,58.0,7.16,7.25,4.57,11352
0.53,Ideal,G,VS1,61.6,55.7,5.21,5.24,3.22,1772
0.57,Very Good,F,VS1,60.3,58.0,5.36,5.39,3.24,1871
0.71,Good,F,IF,62.1,62.0,5.68,5.79,3.56,3393
0.7,Very Good,G,SI2,63.2,57.0,5.7,5.66,3.59,2117
0.7,Ideal,D,VS1,63.1,54.0,5.62,5.65,3.56,3618
0.56,Ideal,D,SI1,60.5,57.0,5.31,5.36,3.23,1723
0.32,Ideal,D,VS2,62.5,56.0,4.38,4.45,2.76,758
0.4,Ideal,G,SI1,60.9,55.0,4.8,4.78,2.92,873
0.57,Ideal,G,I1,,57.0,5.46,5.42,3.24,1019
1.09,Very Good,G,VS1,59.9,56.0,6.74,6.81,4.06,7992
1.2,Good,I,VS1,61.7,62.0,6.65,6.74,4.13,5818
1.31,Very Good,E,VS2,63.1,56.0,6.95,6.9,4.37,10094
0.26,Ideal,F,VS1,62.3,56.0,4.1,4.08,2.55,580
0.5,Premium,E,VS2,62.9,59.0,5.09,5.06,3.19,1746
0.81,Ideal,E,SI1,60.3,56.0,6.05,6.13,3.67,3413
1.39,Premium,I,SI1,62.1,57.0,7.22,7.08,4.44,6694
0.7,Ideal,I,VS2,61.4,56.0,5.72,5.75,3.52,2270
1.56,Ideal,J,SI2,62.1,55.0,7.45,7.41,4.62,5766
1.5,Very Good,H,VS2,62.8,57.0,7.25,7.3,4.57,10959
1.01,Very Good,F,VS2,62.7,56.0,6.37,6.43,4.01,6159
0.5,Ideal,F,VVS1,62.0,58.0,5.06,5.07,3.14,2018
1.2,Ideal,E,VVS1,60.1,61.0,6.83,6.91,4.13,15185
1.23,Premium,F,VS2,59.6,58.0,6.94,7.02,4.16,8855
0.51,Premium,H,VS2,58.5,61.0,5.26,5.23,3.07,1359
0.31,Ideal,E,IF,60.9,55.0,4.39,4.41,2.68,987
1.5,Premium,G,VS1,62.7,58.0,7.32,7.2,4.55,13736
1.01,Premium,E,VS1,60.8,59.0,6.42,6.46,3.92,7821
1.03,Good,G,SI2,63.7,60.0,6.35,6.28,4.02,4001
0.71,Ideal,H,VVS2,61.5,54.0,5.74,5.8,3.55,2594
0.71,Ideal,G,VS1,62.9,58.0,5.66,5.69,3.57,2820
0.34,Ideal,E,SI2,62.9,56.0,4.48,4.45,2.81,612
2.02,Ideal,H,SI2,62.7,57.0,8.05,8.0,5.03,15785
0.32,Premium,I,IF,60.3,58.0,4.45,4.41,2.67,864
0.5,Premium,E,VS2,58.1,61.0,5.23,5.17,3.02,1420
1.11,Ideal,H,SI1,62.7,56.0,6.65,6.59,4.15,5386
1.0,Ideal,F,VVS2,61.3,53.0,6.44,6.48,3.96,10577
1.02,Good,G,VVS1,63.6,58.0,6.37,6.4,4.06,7861
1.55,Ideal,I,SI1,62.3,54.8,7.37,7.39,4.61,9117
0.33,Ideal,F,VS2,60.5,55.0,4.55,4.47,2.73,854
1.52,Ideal,H,SI1,61.4,55.0,7.38,7.48,4.56,10239
0.72,Very Good,H,VS1,60.6,63.0,5.83,5.76,3.51,2782
0.32,Premium,E,SI1,62.3,58.0,4.37,4.4,2.73,561
0.31,Very Good,F,VVS1,61.8,59.0,4.33,4.35,2.68,897
0.75,Fair,J,VS2,59.1,66.0,5.99,5.82,3.49,1944
0.32,Ideal,G,IF,62.1,53.0,4.41,4.44,2.75,918
0.9,Very Good,D,SI2,62.5,58.0,6.12,6.16,3.84,3798
0.32,Premium,H,VVS2,61.6,55.0,4.44,4.42,2.73,828
0.5,Ideal,H,VS2,61.3,56.0,5.12,5.16,3.15,1349
0.7,Premium,F,SI1,,59.0,5.73,5.69,3.55,2423
1.01,Very Good,D,SI2,63.1,54.0,6.39,6.35,4.02,5703
0.38,Ideal,E,IF,62.7,55.0,4.61,4.67,2.91,1433
0.27,Very Good,F,VVS1,61.8,56.0,4.15,4.17,2.57,682
0.33,Ideal,H,VVS1,62.1,55.0,4.44,4.42,2.75,965
1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5293
0.5,Premium,G,VVS2,59.6,60.0,5.15,5.18,3.08,1838
2.0,Good,E,SI2,64.7,57.0,7.75,7.86,5.05,15393
1.61,Premium,F,VS2,61.6,61.0,7.54,7.47,4.62,14833
0.52,Ideal,H,VS2,61.7,54.0,5.18,5.22,3.21,1238
0.25,Very Good,F,VVS1,60.7,59.0,4.07,4.1,2.48,576
0.42,Ideal,F,VVS2,61.3,57.0,4.82,4.8,2.95,1221
1.29,Fair,G,I1,66.0,58.0,6.82,6.75,4.48,4277
0.3,Ideal,E,VVS1,61.4,56.0,4.33,4.37,2.67,895
0.87,Ideal,D,SI2,61.4,54.0,6.15,6.2,3.79,4012
2.0,Premium,I,SI2,61.3,59.0,8.13,8.09,4.97,14208
1.28,Ideal,G,IF,60.8,57.0,7.02,7.05,4.28,11372
1.0,Good,H,SI2,63.7,58.0,6.28,6.15,3.96,3472
0.7,Fair,J,I1,64.7,59.0,5.59,5.5,3.59,1066
1.24,Premium,G,SI2,60.0,60.0,6.94,6.88,4.15,3896
0.32,Premium,H,VS1,61.6,59.0,4.39,4.37,2.7,672
0.3,Premium,F,IF,60.7,58.0,4.37,4.33,2.64,1013
1.06,Very Good,H,SI2,62.8,57.0,6.49,6.57,4.1,4372
0.42,Good,G,SI1,63.2,57.0,4.77,4.79,3.02,737
0.6,Very Good,E,VS1,63.2,56.0,5.39,5.3,3.38,2177
0.3,Premium,D,VS2,60.6,58.0,4.36,4.32,2.63,911
0.53,Ideal,D,SI1,61.7,56.0,5.15,5.23,3.2,1631
0.42,Premium,F,SI1,60.6,61.0,4.87,4.83,2.94,926
1.26,Premium,J,SI1,61.7,58.0,6.91,6.99,4.29,5114
1.04,Good,G,VS1,63.8,57.0,6.4,6.43,4.09,7049
0.3,Ideal,H,VVS1,62.5,53.8,4.31,4.33,2.69,639
0.32,Ideal,G,IF,61.7,56.0,4.39,4.42,2.72,918
0.38,Ideal,F,SI2,61.3,55.0,4.67,4.69,2.87,568
2.02,Very Good,J,VS2,59.3,60.0,8.28,8.34,4.93,13693
1.02,Premium,G,VVS1,62.1,59.0,6.39,6.36,3.96,8005
0.43,Premium,F,VS1,61.0,57.0,4.89,4.84,2.97,1129
1.0,Very Good,F,VS2,61.6,56.0,6.42,6.47,3.97,6013
1.04,Very Good,F,VS2,61.0,60.0,6.54,6.48,3.97,6361
0.3,Ideal,H,VVS1,62.3,57.0,4.25,4.28,2.65,650
0.3,Good,G,VVS2,63.8,57.0,4.26,4.24,2.71,878
0.95,Very Good,J,VS1,62.4,57.0,6.25,6.29,3.91,3365
0.4,Very Good,E,VVS2,62.4,58.0,4.7,4.76,2.95,1017
0.58,Ideal,D,SI2,62.7,56.0,5.32,5.3,3.33,1442
1.02,Premium,G,SI2,62.5,59.0,6.42,6.37,4.0,4370
1.0,Good,G,SI2,57.8,64.0,6.55,6.5,3.77,3651
0.58,Ideal,F,SI1,60.9,55.0,5.39,5.41,3.29,1569
0.35,Ideal,H,VVS1,61.7,56.0,4.53,4.55,2.8,798
1.5,Ideal,E,SI1,62.0,55.0,7.4,7.32,4.56,11489
0.57,Premium,E,SI1,59.4,58.0,5.42,5.38,3.21,1613
1.22,Ideal,H,VVS2,61.7,56.0,6.83,6.87,4.23,9366
1.0,Ideal,G,VS2,58.9,60.0,6.53,6.58,3.86,6235
0.35,Ideal,H,IF,61.7,54.0,4.53,4.55,2.8,859
0.52,Ideal,E,VS2,61.7,57.0,5.17,5.1,3.17,1694
0.25,Ideal,F,VVS1,62.3,56.0,4.01,4.03,2.5,705
0.91,Fair,H,SI2,61.3,67.0,6.24,6.19,3.81,2825
0.64,Very Good,H,VVS2,60.0,59.0,5.59,5.65,3.37,2060
0.35,Ideal,E,VS1,62.0,53.6,4.53,4.55,2.81,840
0.79,Ideal,G,SI1,61.8,56.0,5.93,5.91,3.66,2831
0.72,Very Good,G,SI2,62.1,59.0,5.66,5.73,3.54,2015
0.96,Very Good,G,SI1,60.3,57.0,6.35,6.38,3.84,4265
0.33,Ideal,G,VS1,62.1,54.0,4.47,4.45,2.77,854
0.23,Premium,E,VVS1,60.8,56.0,3.99,3.94,2.41,640
1.04,Good,G,VS1,63.8,57.0,6.42,6.37,4.08,6360
1.0,Ideal,E,VS2,62.5,57.0,6.38,6.45,4.01,7177
0.32,Ideal,H,VS1,61.9,55.0,4.42,4.4,2.73,720
0.3,Very Good,G,VS1,62.0,60.0,4.23,4.28,2.64,605
0.3,Premium,F,IF,61.6,58.0,4.34,4.3,2.66,1085
1.24,Premium,F,VS1,62.5,58.0,6.87,6.83,4.28,10033
0.29,Ideal,E,VS1,60.6,55.0,4.33,4.35,2.63,619
0.32,Very Good,F,VVS1,62.2,55.0,4.39,4.43,2.74,886
0.92,Premium,E,SI1,62.2,58.0,6.18,6.23,3.86,4562
1.11,Ideal,E,VS2,62.2,56.0,6.66,6.59,4.12,7459
0.9,Ideal,H,VVS2,62.0,57.0,6.2,6.15,3.83,4838
0.54,Ideal,H,SI1,62.5,53.0,5.22,5.25,3.27,1227
0.4,Ideal,E,SI1,62.5,57.0,4.74,4.7,2.95,907
1.03,Premium,H,VS2,62.4,58.0,6.47,6.39,4.01,5078
0.78,Very Good,F,SI2,58.3,62.0,6.04,6.11,3.54,2477
0.73,Premium,F,SI1,59.3,61.0,5.85,5.82,3.46,2346
2.0,Premium,H,SI2,61.4,59.0,8.07,8.0,4.93,11108
1.01,Premium,F,SI2,62.5,61.0,6.37,6.33,3.97,4017
1.26,Ideal,G,VS1,61.2,57.0,7.03,6.95,4.28,9032
1.27,Premium,I,I1,60.2,62.0,7.05,7.0,4.23,3732
0.74,Ideal,D,SI2,61.1,57.0,5.81,5.84,3.56,2690
0.7,Ideal,H,VS1,61.9,55.0,5.66,5.72,3.52,2484
2.09,Premium,H,SI2,60.6,59.0,8.27,8.22,5.0,17805
1.24,Ideal,J,SI1,61.9,56.0,6.95,6.88,4.28,5125
0.57,Ideal,E,VS1,61.0,56.0,5.38,5.4,3.29,2297
0.37,Premium,G,IF,59.8,58.0,4.71,4.69,2.81,1064
1.5,Premium,E,SI2,61.5,59.0,7.3,7.23,4.47,8064
1.01,Very Good,G,SI1,60.2,58.0,6.5,6.59,3.94,4719
0.42,Ideal,G,VS2,60.8,57.0,4.82,4.85,2.94,847
